Epoch,Phase,Loss,Accuracy,Mean F1-score,Weighted F1-score
65,val,0.393652035487638,0.8703319502074689,0.8778929276202131,0.8699946998880762
65,test,0.3776279316573847,0.8775614754098361,0.8830769222523243,0.8775732140862499
66,train,0.09423748078305194,0.9587269292254033,0.9620198420463607,0.9587471742870209
66,val,0.4004871261565022,0.8713692946058091,0.8787207035792302,0.8710308677253266
66,test,0.3887019421233506,0.8703893442622951,0.8759457418261892,0.8702108101566098
67,train,0.09597707670704429,0.9595988955093736,0.9628571582851089,0.9596189877332398
67,val,0.39179645732230667,0.8724066390041494,0.8796715014695545,0.8720984487909
67,test,0.369667082536416,0.8744877049180327,0.8801128173006753,0.8743605324324333
68,train,0.09202942248152848,0.9595988955093736,0.9629201087485344,0.9596118198591342
68,val,0.4098079236711209,0.8724066390041494,0.8799472688740995,0.8721091908695583
68,test,0.38081422106164403,0.8770491803278688,0.8822166954712352,0.8768879361189708
69,train,0.08905558731385813,0.9598895509373637,0.9631957008524648,0.9599052655938274
69,val,0.40663493347365826,0.8692946058091287,0.8768195730576233,0.8690677700177423
69,test,0.37838384362517813,0.875,0.8799212296853908,0.8745487374517258
70,train,0.0881703206618292,0.9635227437872402,0.9663983046091973,0.963549758564204
70,val,0.415806304864369,0.8682572614107884,0.8759136470678246,0.8678088265613206
70,test,0.3975657967270398,0.8703893442622951,0.876088199355636,0.8701965277502354
71,train,0.09238705402945314,0.9594535677953786,0.9627412021920785,0.9594677984622707
71,val,0.40355159237177046,0.8651452282157677,0.873153042956246,0.8646901590009904
71,test,0.38006857184113046,0.8647540983606558,0.8705349347273381,0.8644332189052413
72,train,0.08789828978072868,0.9648306932131958,0.9677175613224316,0.9648402575643127
72,val,0.42634207220493014,0.8651452282157677,0.8729207310821643,0.8649086006756388
72,test,0.3935454556199371,0.8755122950819673,0.8804708520748324,0.8751453307993399
73,train,0.09655206547523547,0.9565470135154774,0.9601174460341237,0.956587641622684
73,val,0.4069357970690826,0.8755186721991701,0.8825606717111951,0.8752940315741305
73,test,0.3924596153321813,0.8714139344262295,0.8768801959077164,0.8712121769399734
74,train,0.08534367046757607,0.9636680715012352,0.9666472215748989,0.9636850738761564
74,val,0.4193329475974641,0.8692946058091287,0.876910162641788,0.8689860688030229
74,test,0.3910008707984549,0.8719262295081968,0.8774526368619154,0.8717154528722473
75,train,0.08268462175517179,0.965412004069176,0.9682257768858994,0.9654210663839162
75,val,0.41488297809209074,0.8703319502074689,0.8778423390912474,0.8700923073234071
75,test,0.3855858513566314,0.8729508196721312,0.8783924947312141,0.8727543465106646
76,train,0.08191421869782199,0.965557331783171,0.9683880481127941,0.9655680939273854
76,val,0.42262487020729983,0.8765560165975104,0.8837198568704421,0.8763378644218021
76,test,0.40028299171416487,0.8755122950819673,0.8806493886154885,0.8751714563335181
77,train,0.07651816720169759,0.9687545414910623,0.9712851791669992,0.9687671659591764
77,val,0.43665260954516555,0.8589211618257261,0.8671729111110332,0.8583105411062257
77,test,0.4002505638560311,0.8673155737704918,0.873232996362062,0.867125153111999
78,train,0.07501445710875582,0.9697718354890278,0.9722623794395048,0.9697833834526834
78,val,0.43671990022125085,0.8661825726141079,0.874123099762692,0.865934784861923
78,test,0.39807969038603735,0.8724385245901639,0.8781222239856831,0.8723721292639717
79,train,0.07361695937819908,0.9697718354890278,0.972179782365159,0.9697801991082465
79,val,0.4313106246261676,0.8713692946058091,0.8788294532649811,0.8711278887949766
79,test,0.40867041368953516,0.8765368852459017,0.8816422728341093,0.8763314340671349
80,train,0.07790296860207065,0.9665746257811365,0.9692956156338101,0.9665992745395997
80,val,0.4359027211596857,0.8661825726141079,0.8741500321302608,0.8658714701143034
80,test,0.4259529133312038,0.8744877049180327,0.8800212244516128,0.8744308722943385
81,train,0.07815415187565727,0.9675919197791019,0.9702190356701745,0.9676026364192306
81,val,0.4380639315393456,0.8724066390041494,0.8798163849356759,0.8721732284964798
81,test,0.42319172523060783,0.8709016393442623,0.8765720194247629,0.8708838532862627
82,train,0.07512906211490739,0.9667199534951315,0.9694679515485636,0.9667340874970296
82,val,0.44084870098042783,0.8630705394190872,0.8711989400055067,0.8625542467259629
82,test,0.4082861308191643,0.8673155737704918,0.8731692678618975,0.8671547290081625
83,train,0.07503500944383788,0.9690451969190524,0.9715532955525269,0.9690607248432845
83,val,0.4489531076795333,0.8713692946058091,0.8789801269952932,0.871083307206913
83,test,0.4135795470143928,0.8698770491803278,0.8754893764926741,0.8697447028932381
84,train,0.07078935168905498,0.9700624909170179,0.9724641092756624,0.9700676468531363
84,val,0.4407276228008429,0.8796680497925311,0.8863851376473386,0.8793529117882057
84,test,0.42945730295337614,0.867827868852459,0.8727866008516207,0.8671115397554526
85,train,0.07669042646040353,0.9674465920651069,0.9700714341839604,0.967475640279618
85,val,0.4681288628410007,0.8672199170124482,0.8749139954150751,0.8669532101605272
85,test,0.42605439268174716,0.867827868852459,0.8730861443648144,0.8674132696681431
86,train,0.07655384823573812,0.9671559366371167,0.9697833841221731,0.9671721446507635
86,val,0.44837045323304614,0.8609958506224067,0.8693110860323789,0.860712898338863
86,test,0.41451294109469555,0.8729508196721312,0.8783460566313099,0.8727536628346879
87,train,0.06977935965095663,0.9725330620549338,0.9747893710017426,0.9725412177391732
87,val,0.45875496179236414,0.8692946058091287,0.8770336549758285,0.8688991987224312
87,test,0.42573121532064967,0.8719262295081968,0.8775032608850243,0.8717116249132356
88,train,0.07093840612586094,0.9684638860630722,0.9710252409218436,0.9684706633488679
88,val,0.4592149806715146,0.8651452282157677,0.8731788878076143,0.8647800172099586
88,test,0.42765901323224675,0.867827868852459,0.8736245586416345,0.8675942206025931
89,train,0.0678975245812625,0.9709344572009883,0.9732863891316302,0.9709466130680284
89,val,0.4709954218498404,0.8672199170124482,0.875058057037687,0.8669858216190305
89,test,0.4398939609527588,0.8770491803278688,0.882154442053735,0.8768417500926282
90,train,0.06674296669948934,0.9723877343409388,0.9746355700830938,0.9723974482099078
90,val,0.4640942884925985,0.8713692946058091,0.8788667406474293,0.8711384192930297
90,test,0.4446173222338567,0.8673155737704918,0.8727852259898633,0.8670632331061623
91,train,0.06449579733252404,0.9761662549048103,0.97810590136498,0.9761720745808493
91,val,0.47269634302720986,0.8724066390041494,0.8799223666830571,0.8721701127826821
91,test,0.4706671814449498,0.8729508196721312,0.8784891735387694,0.8729499306147184
92,train,0.0719600964384688,0.9684638860630722,0.97103638783091,0.9684755462764615
92,val,0.4679941277780968,0.8641078838174274,0.8722047648523266,0.8638409364808891
92,test,0.4396406988628575,0.8673155737704918,0.8727593753612712,0.8670464709114887
93,train,0.0700256605653582,0.9702078186310129,0.9726514193622716,0.9702151169215565
93,val,0.4764792426987802,0.8672199170124482,0.875115933812457,0.8668955110239009
93,test,0.42956064470478744,0.8729508196721312,0.8784208750226051,0.8727733018396144
94,train,0.06979858334536401,0.9712251126289784,0.9735469881956383,0.971231121266449
94,val,0.4620301258514531,0.8682572614107884,0.8760731090533378,0.8678801628124525
94,test,0.43731258736282097,0.8688524590163934,0.8745546337900011,0.8687887205505731
95,train,0.06663835952576813,0.9739863391948844,0.9760608013545568,0.974000010771412
95,val,0.47679611533509253,0.8661825726141079,0.8741278424040381,0.8657553046350706
95,test,0.4424082236211808,0.8739754098360656,0.8795231961741574,0.8738128679675066
96,train,0.06620313719568982,0.972678389768929,0.974897898536938,0.9726881736818794
96,val,0.47161341022653697,0.8630705394190872,0.8709164480632607,0.8626647015165283
96,test,0.434340591313409,0.8785860655737705,0.8838675791089214,0.8783762655039589
97,train,0.06360344359966025,0.9732597006249092,0.9754566368947643,0.9732720047608998
97,val,0.47087509775557457,0.8620331950207469,0.8700876812894803,0.861785938335133
97,test,0.4411755790475939,0.8703893442622951,0.8759818100991049,0.870156340293189
