Dataset,Pretext Dataset,Phase,Loss,Accuracy,F1 Score,Weighted F1 Score,Best Epoch
kuhar,wisdm_k_28_lr_0.0005_bs_64.pkl_result,train,0.3670221527025615,0.8625339639730301,0.8796621818838668,0.8622559880583206,3
kuhar,wisdm_k_28_lr_0.0005_bs_64.pkl_result,val,1.21514171211293,0.5794724007980492,0.625272349877965,0.5871416521371707,3
kuhar,wisdm_k_28_lr_0.0005_bs_64.pkl_result,test,0.47369008427726916,0.8149568552253116,0.7807076281481189,0.8156712320279933,3
realworld,waist_motionsense_k_28_lr_0.0005_bs_64.pkl_result,train,0.21924707153933554,0.9173630148297387,0.9200084988683769,0.9185189536838476,146
realworld,waist_motionsense_k_28_lr_0.0005_bs_64.pkl_result,val,0.9917350976802563,0.7331553321815611,0.7334333123889586,0.7350313917996945,146
realworld,waist_motionsense_k_28_lr_0.0005_bs_64.pkl_result,test,0.7630333795326768,0.7907975460122699,0.771875759937668,0.7860339427384088,146
wisdm,motionsense_k_28_lr_0.0005_bs_64.pkl_result,train,0.249374236754535,0.8812737320951916,0.8811948980086282,0.8812157098180243,57
wisdm,motionsense_k_28_lr_0.0005_bs_64.pkl_result,val,0.5509908204081994,0.7908109989557953,0.7912175983959557,0.7912537720804279,57
wisdm,motionsense_k_28_lr_0.0005_bs_64.pkl_result,test,0.958221521675549,0.7497787330888861,0.7470959901221508,0.7471426791242695,57
uci,motionsense_k_28_lr_0.0005_bs_64.pkl_result,train,0.21088906373980779,0.891585525359686,0.9003464926093377,0.8916037820490575,107
uci,motionsense_k_28_lr_0.0005_bs_64.pkl_result,val,0.4388072355901552,0.8215767634854771,0.8298206010742047,0.8211293227247151,107
uci,motionsense_k_28_lr_0.0005_bs_64.pkl_result,test,0.38718184242483045,0.8222336065573771,0.8277668824278613,0.8218036533542165,107
uci,realworld_waist_k_28_lr_0.0005_bs_64.pkl_result,train,0.05699593013688725,0.9787821537567214,0.9804497834503554,0.9787841332558187,71
