Dataset,Pretext Dataset,Phase,Loss,Accuracy,F1 Score,Weighted F1 Score,Best Epoch
wisdm,wisdm_k_28_lr_0.0005_bs_64.pkl,val,0.7164490596367596,0.838844413505047,0.8389061256753327,0.8389402630934317,21
wisdm,wisdm_k_28_lr_0.0005_bs_64.pkl,test,0.7105368273472843,0.8237451005183968,0.8241542761829361,0.8241749270359459,21
realworld,waist_realworld_waist_k_28_lr_0.0005_bs_64.pkl,train,0.0032159117641277547,0.9988770353733858,0.9988884149793121,0.9988772024085996,137
realworld,waist_realworld_waist_k_28_lr_0.0005_bs_64.pkl,val,1.730125419549518,0.7922098319459714,0.7897467604743885,0.7891206607126752,137
realworld,waist_realworld_waist_k_28_lr_0.0005_bs_64.pkl,test,1.4766213923194402,0.7566871165644172,0.7378119341599693,0.748999709347652,137
motionsense,wisdm_k_28_lr_0.0005_bs_64.pkl,train,0.0014340439865181752,0.9995637542066559,0.9993883660896156,0.999563803028046,129
motionsense,wisdm_k_28_lr_0.0005_bs_64.pkl,val,0.24496292157839702,0.9543010752688172,0.9444492363118281,0.9542105319664976,129
motionsense,wisdm_k_28_lr_0.0005_bs_64.pkl,test,0.16514803175721085,0.9746916205869842,0.9718006068509472,0.9746340380083093,129
kuhar,uci_k_28_lr_0.0005_bs_64.pkl,train,0.052246286434895484,0.9819865150447822,0.9886881218451657,0.9819866998512885,33
kuhar,uci_k_28_lr_0.0005_bs_64.pkl,val,2.0211945549429875,0.5874528929283972,0.6517648913799947,0.5939633618722395,33
kuhar,uci_k_28_lr_0.0005_bs_64.pkl,test,0.32394223588082155,0.9395973154362416,0.9320013800394898,0.939768121713048,33
uci,wisdm_k_28_lr_0.0005_bs_64.pkl,train,0.01457076213846914,0.995204185438163,0.9955351108116652,0.995203600722312,62
uci,wisdm_k_28_lr_0.0005_bs_64.pkl,val,0.20926152992050678,0.9605809128630706,0.9616453743938104,0.9605295863173247,62
uci,wisdm_k_28_lr_0.0005_bs_64.pkl,test,0.11689719679902812,0.9707991803278688,0.97149015630145,0.9706941311600958,62
uci,realworld_waist_k_28_lr_0.0005_bs_64.pkl,train,0.003754391125213859,0.9986920505740444,0.9987986493809663,0.9986920321089616,111
uci,realworld_waist_k_28_lr_0.0005_bs_64.pkl,val,0.22879056434661027,0.9657676348547718,0.9667704977515374,0.9656990383575381,111
uci,realworld_waist_k_28_lr_0.0005_bs_64.pkl,test,0.13098329012511206,0.9774590163934426,0.9778896675073143,0.9774185789802582,111
uci,motionsense_k_28_lr_0.0005_bs_64.pkl,train,0.0057867304769803046,0.9981107397180642,0.9982416087283413,0.998110742541269,131
uci,motionsense_k_28_lr_0.0005_bs_64.pkl,val,0.17796972338342074,0.9688796680497925,0.969563782050136,0.9687665795932486,131
uci,motionsense_k_28_lr_0.0005_bs_64.pkl,test,0.13531963991337134,0.9661885245901639,0.9670188455379872,0.9661397942961265,131
